studentID,abi_note,abi_m_note,m_vertief,m_vorbereit,finanz_eltern,sprache,fachsem,sex,gebu,Zulassung,ProzentT1,NoteT1,ProzentT2,NoteT2,ProzentP,NoteP,bfi_ex,bfi_ve,bfi_ge,bfi_ne,bfi_of,iq,Ikont,Ekont,fw_pkt,Av,Iv,Se,Uv,Co,Pa,Na,aist_r,aist_i,aist_a,aist_s,aist_e,aist_c
student111,1.6,9.0,0.0,0,1,0,1.0,0.0,1998.0,1.0,0.44,5.0,0.57,3.3,0.51,3.7,3.33,2.0,1.33,4.33,3.67,123,5.0,1.0,13,2.5,3.0,2.0,3.25,2.67,3.9,2.1,4.2,4.8,3.0,3.2,4.0,2.8
student112,1.8,15.0,0.0,0,0,2,1.0,0.0,1997.0,1.0,0.79,2.0,0.64,3.0,0.71,2.3,2.67,5.0,3.67,2.0,4.67,116,5.0,1.0,11,3.25,4.0,2.5,3.75,2.67,4.3,1.6,3.2,4.0,1.8,1.6,2.0,2.75
student113,2.3,1.7,0.0,0,1,0,1.0,0.0,1999.0,1.0,0.58,3.3,0.49,4.0,0.54,3.7,3.33,4.0,4.33,2.67,3.33,92,4.0,1.0,12,3.0,3.5,2.33,3.25,2.33,2.5,1.2,4.0,5.0,1.0,1.0,1.4,1.2
student114,3.0,5.0,0.0,0,1,0,1.0,0.0,1998.0,,,,,,,,2.33,3.33,3.33,3.33,4.33,120,3.5,3.5,11,2.25,2.25,2.5,2.5,3.17,2.9,1.9,4.4,5.0,3.4,1.8,1.6,1.8
student115,2.0,2.0,1.0,0,1,0,1.0,0.0,1999.0,1.0,0.44,5.0,0.42,5.0,0.43,5.0,2.33,4.0,3.0,1.0,3.0,113,4.0,1.5,11,2.5,4.0,2.5,3.25,2.17,3.5,1.8,3.2,4.6,1.2,3.2,3.8,2.0
student116,1.4,1.2,0.0,1,1,0,1.0,0.0,1998.0,,,,,,,,3.67,4.67,2.67,2.33,4.67,120,4.5,2.0,9,2.75,3.5,2.5,3.5,2.17,4.4,1.8,1.8,4.8,4.4,4.8,3.0,2.0
student117,2.0,12.0,0.0,0,1,0,1.0,0.0,1999.0,1.0,0.48,4.0,0.54,3.7,0.51,3.7,2.67,3.5,2.33,3.0,4.33,102,3.5,3.0,9,2.75,3.0,2.75,3.0,3.17,3.0,3.5,3.2,4.8,2.6,2.6,3.0,3.2
student12,1.5,11.0,0.0,0,1,0,1.0,1.0,1998.0,1.0,0.45,4.0,0.33,5.0,0.39,5.0,3.33,4.33,4.33,2.67,2.67,102,4.5,2.0,7,2.25,3.0,2.0,2.75,2.83,4.1,1.2,1.4,2.4,2.0,4.6,4.4,2.4
student13,1.7,13.0,0.0,0,1,0,1.0,1.0,1998.0,1.0,0.43,5.0,0.56,3.3,0.5,4.0,3.0,4.33,3.0,2.33,2.67,113,4.0,1.5,7,2.75,3.0,2.25,2.75,1.83,3.8,1.6,1.0,2.8,3.0,4.2,3.2,2.2
student14,1.9,2.0,0.0,0,1,0,1.0,1.0,1998.0,1.0,0.74,2.3,0.55,3.3,0.65,3.0,2.67,4.67,4.33,3.0,3.33,130,4.5,3.0,5,3.0,4.0,2.25,2.75,3.5,3.6,2.6,2.6,2.4,3.8,4.4,3.2,4.2
student15,1.3,13.0,0.0,0,1,0,1.0,1.0,1997.0,1.0,0.41,5.0,0.53,3.7,0.47,4.0,4.67,5.0,4.67,2.67,4.0,120,5.0,1.0,7,3.25,3.25,2.5,3.25,1.33,4.9,1.4,1.4,3.4,3.0,5.0,5.0,3.4
student16,1.7,2.0,0.0,1,0,0,1.0,1.0,1994.0,1.0,0.59,3.3,0.67,2.7,0.63,3.0,4.0,4.33,4.33,2.33,4.33,99,3.5,1.5,4,2.25,2.5,2.0,2.25,2.67,3.78,1.9,1.6,1.6,4.2,3.4,2.0,2.0
student17,2.0,2.0,0.0,0,1,0,1.0,1.0,1998.0,1.0,0.35,5.0,0.39,5.0,0.37,5.0,2.67,4.0,5.0,3.0,3.0,116,3.5,1.0,10,3.25,3.75,2.25,3.25,3.67,3.4,2.8,3.0,2.8,3.0,4.2,3.0,3.8
student18,1.0,1.0,1.0,0,1,0,1.0,1.0,1999.0,1.0,0.68,2.7,0.68,2.7,0.68,2.7,3.67,3.67,2.33,4.0,3.33,127,4.5,2.5,13,3.5,3.75,3.0,3.5,2.5,3.3,2.9,4.6,4.4,2.4,1.4,3.8,2.2
student19,2.8,9.0,0.0,0,1,0,1.0,1.0,1997.0,1.0,0.25,5.0,0.45,4.0,0.35,5.0,3.33,4.0,2.33,3.67,4.33,102,4.0,2.0,4,2.75,3.75,2.0,4.0,2.33,3.6,2.6,3.6,3.0,3.6,4.0,2.8,1.8
